                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.3211,                 0.8509,                 1.0783,                0.90404,                  0.524,                0.59319,                 0.3783,                 1.2696,                0.67786,                 1.0223,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                 1.3391,                0.86847,                  1.067,                0.90404,                  0.524,                0.59319,                 0.3783,                 1.2696,                0.67786,                 1.0223,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 1.3361,                0.83661,                 1.0575,                0.90407,                 0.5241,                0.59073,                0.37387,                 1.2678,                0.67655,                 1.0213,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                 1.3431,                 0.8205,                 1.0864,                0.90407,                 0.5241,                0.59073,                0.37387,                 1.2678,                0.67655,                 1.0213,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                 1.3751,                 0.8423,                 1.0877,                0.90519,                0.53019,                0.59099,                0.36955,                 1.2668,                0.67488,                 1.0206,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                 1.4145,                0.85493,                 1.0713,                0.90519,                0.53019,                0.59099,                0.36955,                 1.2668,                0.67488,                 1.0206,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                 1.3063,                0.89416,                 1.0957,                0.90542,                0.53129,                0.58926,                0.36843,                 1.2666,                0.67461,                 1.0207,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                 1.2513,                0.81612,                 1.0601,                0.90542,                0.53129,                0.58926,                0.36843,                 1.2666,                0.67461,                 1.0207,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                 1.4036,                0.88763,                 1.0848,                0.97208,                0.48929,                 0.5884,                0.37204,                 1.2665,                0.67308,                 1.0204,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                 1.3072,                 0.8524,                 1.0497,                0.97208,                0.48929,                 0.5884,                0.37204,                 1.2665,                0.67308,                 1.0204,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                 1.4327,                0.84967,                 1.0802,                0.97259,                0.49667,                0.57756,                0.36671,                 1.2671,                 0.6719,                 1.0198,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                 1.3536,                0.85146,                 1.0706,                0.97259,                0.49667,                0.57756,                0.36671,                 1.2671,                 0.6719,                 1.0198,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                 1.3713,                0.83205,                 1.0609,                0.97274,                0.49846,                0.57674,                0.36737,                  1.265,                0.67287,                 1.0184,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                 1.2856,                0.83779,                 1.0593,                0.97274,                0.49846,                0.57674,                0.36737,                  1.265,                0.67287,                 1.0184,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                 1.4035,                0.83578,                 1.0715,                0.97271,                0.49771,                0.56849,                0.36887,                  1.267,                0.67276,                 1.0193,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                 1.4546,                 0.9714,                 1.0783,                0.97271,                0.49771,                0.56849,                0.36887,                  1.267,                0.67276,                 1.0193,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                 1.3444,                0.86089,                  1.041,                0.97289,                0.49845,                0.56559,                0.36481,                 1.2653,                 0.6745,                 1.0188,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                 1.2401,                0.78425,                 1.0577,                0.97289,                0.49845,                0.56559,                0.36481,                 1.2653,                 0.6745,                 1.0188,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                 1.3676,                0.85446,                 1.0646,                0.97275,                0.49847,                0.56672,                 0.3666,                 1.2681,                0.67386,                 1.0203,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                 1.4347,                0.87204,                 1.0375,                0.97275,                0.49847,                0.56672,                 0.3666,                 1.2681,                0.67386,                 1.0203,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                 1.2389,                0.79723,                 1.0892,                0.97107,                0.49129,                0.56597,                0.36503,                 1.2667,                0.67437,                  1.018,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                 1.3194,                0.83473,                 1.0911,                0.97107,                0.49129,                0.56597,                0.36503,                 1.2667,                0.67437,                  1.018,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                 1.2915,                0.76424,                 1.0478,                0.97021,                0.49282,                0.56489,                0.36577,                 1.2715,                 0.6734,                 1.0208,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                 1.3532,                0.93307,                 1.0613,                0.97021,                0.49282,                0.56489,                0.36577,                 1.2715,                 0.6734,                 1.0208,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 1.2946,                0.84016,                 1.0512,                0.94678,                 0.4919,                0.58576,                0.37181,                 1.2577,                0.67501,                 1.0116,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                 1.3645,                0.88232,                 1.0531,                0.94678,                 0.4919,                0.58576,                0.37181,                 1.2577,                0.67501,                 1.0116,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                  1.401,                0.98538,                 1.1252,                0.92052,                0.48605,                0.56762,                0.37339,                  1.249,                0.68013,                 1.0064,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                 1.3558,                0.94783,                 1.1103,                0.92052,                0.48605,                0.56762,                0.37339,                  1.249,                0.68013,                 1.0064,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                 1.4224,                0.93155,                 1.0683,                0.88527,                0.50827,                0.56854,                0.37446,                 1.2442,                0.68585,                 1.0034,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                  1.416,                0.93009,                 1.1037,                0.88527,                0.50827,                0.56854,                0.37446,                 1.2442,                0.68585,                 1.0034,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                 1.3708,                0.90694,                  1.098,                0.55343,                0.52543,                 0.5747,                 0.3768,                 1.2375,                0.69277,                 1.0015,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                 1.3112,                0.86645,                  1.036,                0.55343,                0.52543,                 0.5747,                 0.3768,                 1.2375,                0.69277,                 1.0015,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                 1.4586,                0.89712,                 1.0831,                 0.9122,                0.48889,                0.58334,                0.38261,                 1.2335,                0.70222,                 1.0004,             2.3681e-06,             2.3681e-06,             2.3681e-06
